Question,G-a/c: Please rate how much you agree:  [The tasks felt more and more tedious over the course of the experiment.  ],G-a/c: Please rate how much you agree:  [The tasks became more challenging over the course of the experiment.],G-a/c: Please rate how much you agree:  [I became more and more exhausted during the experiment. ],G-a/c: Please rate how much you agree:  [A robot collaboration is beneficial/needed in such tasks. ],G-a/c: Please rate how much you agree:  [IT became harder to focus over the course of the experiment. ],G-d/e: Please rate how much you agree:  [The robot was able to adapt to my preferences over the course of the experiment. ],G-d/e: Please rate how much you agree:  [I would work with such a robot on theses kind of tasks in a working environment. ],G-d/e: Please rate how much you agree:  [My interest in collaborating with the robot faded away. (bacame less and less)],G-d/e: Please rate how much you agree:  [I liked collaborating with the robot],G-d/e: Please rate how much you agree:  [I became more comfortable interacting with the robot over the course of the experiment. ]
Label,Tasks became more tedious,Tasks became more challenging,I became more exhausted,,It became harder to focus,The robot adapted to my preferences,I would work with such a robot,,,
,3,5,5,3,5,3,3,3,4,4
,4,4,4,4,4,4,4,4,4,4
,4,5,2,5,2,4,5,3,5,4
,4,4,4,4,4,2,4,3,4,4
,4,5,4,5,3,5,5,1,4,5
,2,5,5,5,3,4,4,2,5,4
,3,5,3,5,3,5,5,1,5,5
,4,5,4,4,5,3,3,3,3,3
,,,,,,,,,,
Label,Tasks became more tedious,Tasks became more challenging,I became more exhausted,A robot collaboration is beneficial in such tasks,It became harder to focus,The robot adapted to my preferences,I would work with such a robot,My interest in collaborating with the robot faded away,I liked collaborating with the robot,"I became more comfortable, interacting with the robot"
MEAN,3.5,4.75,3.875,3.5,3.625,3.75,4.125,2.5,4.25,4.125
STDDEV,0.755928946,0.4629100499,0.991031209,5,1.0606601718,1.035098339,0.8345229604,1.0690449676,0.7071067812,0.6408699445
SEM,0.2672612419,0.1636634177,0.3503824441,0.2630521404,0.375,0.3659625274,0.2950484222,0.377964473,0.25,0.2265817418
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,G-a/c: Please rate how much you agree:  [The tasks felt more and more tedious over the course of the experiment.  ],SEM,STDDEV,Mean,,,,,,
,3,,0.755928946,0.755928946,,,,,,
,4,,,,,,,,,
,4,,,,,,,,,
,4,,,,,,,,,
,4,,,,,,,,,
,2,,,,,,,,,
,3,,,,,,,,,
,4,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,G-a/c: Please rate how much you agree:  [A robot collaboration is beneficial/needed in such tasks. ],,,,,,,,,
,3,,,,,,,,,
,4,,,,,,,,,
,5,,,,,,,,,
,4,,,,,,,,,
,5,,,,,,,,,
,5,,,,,,,,,
,5,,,,,,,,,
,4,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,G-a/c: Please rate how much you agree:  [The tasks became more challenging over the course of the experiment.],,,,,,,,,
,5,,,,,,,,,
,4,,,,,,,,,
,5,,,,,,,,,
,4,,,,,,,,,
,5,,,,,,,,,
,5,,,,,,,,,
,5,,,,,,,,,
,5,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,G-a/c: Please rate how much you agree:  [I became more and more exhausted during the experiment. ],,,,,,,,,
,5,,,,,,,,,
,4,,,,,,,,,
,2,,,,,,,,,
,4,,,,,,,,,
,4,,,,,,,,,
,5,,,,,,,,,
,3,,,,,,,,,
,4,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,G-a/c: Please rate how much you agree:  [IT became harder to focus over the course of the experiment. ],,,,,,,,,
,5,,,,,,,,,
,4,,,,,,,,,
,2,,,,,,,,,
,4,,,,,,,,,
,3,,,,,,,,,
,3,,,,,,,,,
,3,,,,,,,,,
,5,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,G-d/e: Please rate how much you agree:  [The robot was able to adapt to my preferences over the course of the experiment. ],,,,,,,,,
,3,,,,,,,,,
,4,,,,,,,,,
,4,,,,,,,,,
,2,,,,,,,,,
,5,,,,,,,,,
,4,,,,,,,,,
,5,,,,,,,,,
,3,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,G-d/e: Please rate how much you agree:  [I would work with such a robot on theses kind of tasks in a working environment. ],,,,,,,,,
,3,,,,,,,,,
,4,,,,,,,,,
,5,,,,,,,,,
,4,,,,,,,,,
,5,,,,,,,,,
,4,,,,,,,,,
,5,,,,,,,,,
,3,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,G-d/e: Please rate how much you agree:  [My interest in collaborating with the robot faded away. (bacame less and less)],,,,,,,,,
,3,,,,,,,,,
,4,,,,,,,,,
,3,,,,,,,,,
,3,,,,,,,,,
,1,,,,,,,,,
,2,,,,,,,,,
,1,,,,,,,,,
,3,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,G-d/e: Please rate how much you agree:  [I liked collaborating with the robot],,,,,,,,,
,4,,,,,,,,,
,4,,,,,,,,,
,5,,,,,,,,,
,4,,,,,,,,,
,4,,,,,,,,,
,5,,,,,,,,,
,5,,,,,,,,,
,3,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,G-d/e: Please rate how much you agree:  [I became more comfortable interacting with the robot over the course of the experiment. ],,,,,,,,,
,4,,,,,,,,,
,4,,,,,,,,,
,4,,,,,,,,,
,4,,,,,,,,,
,5,,,,,,,,,
,4,,,,,,,,,
,5,,,,,,,,,
,3,,,,,,,,,
